id	name
M0111-1.02	retn
M0135-1.02	Xrp1
M0302-1.02	(A3-3)_(Mus_musculus)_(DBD_0.56)
M0319-1.02	(CrebB-17A)_(Mus_musculus)_(DBD_0.79)
M0576-1.02	danr
M0580-1.02	(dan)_(Bombyx_mori)_(DBD_0.85)
M0596-1.02	(mip120)_(Drosophila_yakuba)_(DBD_0.99)
M0641-1.02	dmrt99B
M0713-1.02	Ets21C
M0723-1.02	(CG9571)_(Mus_musculus)_(DBD_0.64)
M0736-1.02	(Mnf)_(Mus_musculus)_(DBD_0.79)
M0737-1.02	(fd96Ca)_(Mus_musculus)_(DBD_0.88)
M0740-1.02	slp1
M0817-1.02	gcm2
M0967-1.02	(CG34367)_(Mus_musculus)_(DBD_0.96)
M1088-1.02	Dll
M1089-1.02	bsh
M1090-1.02	ems
M1091-1.02	eve
M1092-1.02	Lim3
M1093-1.02	so
M1094-1.02	zen2
M1095-1.02	bap
M1096-1.02	Gsc
M1097-1.02	Awh
M1098-1.02	dve
M1099-1.02	Ptx1
M1100-1.02	Optix
M1101-1.02	Vsx1
M1102-1.02	CG15696
M1103-1.02	Vsx2
M1104-1.02	FBgn0054031
M1105-1.02	FBpp0292044
M1106-1.02	CG42234
M1223-1.02	(ey)_(Mus_musculus)_(DBD_0.89)
M1242-1.02	FBpp0073832
M1469-1.02	Hr46
M1470-1.02	ftz-f1
M1471-1.02	tll
M1519-1.02	(NFAT)_(Gallus_gallus)_(DBD_0.58)
M1524-1.02	(Rfx)_(Apis_mellifera)_(DBD_0.78)
M1529-1.02	(CG9727)_(Mus_musculus)_(DBD_0.51)
M1599-1.02	(Sox21b)_(Mus_musculus)_(DBD_0.93)
M1623-1.02	(bi)_(Nasonia_vitripennis)_(DBD_0.98)
M1628-1.02	(org-1)_(Mus_musculus)_(DBD_0.70)
M1631-1.02	(H15)_(Mus_musculus)_(DBD_0.69)
M1837-1.02	(lz)_(Mus_musculus)_(DBD_0.71)
M1849-1.02	Cf2
M1850-1.02	usp
M1854-1.02	dl
M1858-1.02	Eip74EF
M1869-1.02	(grn)_(Homo_sapiens)_(DBD_0.93)
M1890-1.02	(Nf-YA)_(Homo_sapiens)_(DBD_0.84)
M1912-1.02	Su(H)
M1913-1.02	sna
M1918-1.02	Ubx
M1946-1.02	ovo
M1960-1.02	(Sox21a)_(Mus_musculus)_(DBD_0.93)
M1974-1.02	Abd-B
M1975-1.02	Antp
M1977-1.02	B-H1
M1978-1.02	B-H2
M1980-1.02	CG11085
M1986-1.02	CG18599
M1988-1.02	CG32532
M1992-1.02	CG7056
M1993-1.02	CG9876
M1995-1.02	Dfd
M2002-1.02	Lag1
