l2_ratio	mean abs(top weights)	mean AUC ROC	std AUC ROC	mean Accuracy	std Accuracy	motif 1	motif 2	motif 3	motif 4	motif 5	motif 6	motif 7	motif 8	motif 9	motif 10	motif 11	motif 12	motif 13	motif 14	motif 15	motif 16	motif 17	motif 18	motif 19	motif 20
0.0	1.0350521657926408	0.7135120145265992	0.050482202938878055	0.7066666666666666	0.029533408577782246	SU(HW)	CTCF	Cf2	CG4404	Myb	hth	Dref	CG32830	sima	CG4328	dmrt99B	vvl	lbe	net	peb	lola	Med	sug	pad	CG12605
0.1	1.0350521657926408	0.7135120145265992	0.050482202938878055	0.7066666666666666	0.029533408577782246	SU(HW)	CTCF	Cf2	CG4404	Myb	hth	Dref	CG32830	sima	CG4328	dmrt99B	vvl	lbe	net	peb	lola	Med	sug	pad	CG12605
0.2	1.0350521657926408	0.7135120145265992	0.050482202938878055	0.7066666666666666	0.029533408577782246	SU(HW)	CTCF	Cf2	CG4404	Myb	hth	Dref	CG32830	sima	CG4328	dmrt99B	vvl	lbe	net	peb	lola	Med	sug	pad	CG12605
0.30000000000000004	1.0350521657926408	0.7135120145265992	0.050482202938878055	0.7066666666666666	0.029533408577782246	SU(HW)	CTCF	Cf2	CG4404	Myb	hth	Dref	CG32830	sima	CG4328	dmrt99B	vvl	lbe	net	peb	lola	Med	sug	pad	CG12605
0.4	1.0350521657926408	0.7135120145265992	0.050482202938878055	0.7066666666666666	0.029533408577782246	SU(HW)	CTCF	Cf2	CG4404	Myb	hth	Dref	CG32830	sima	CG4328	dmrt99B	vvl	lbe	net	peb	lola	Med	sug	pad	CG12605
0.5	1.0350521657926408	0.7135120145265992	0.050482202938878055	0.7066666666666666	0.029533408577782246	SU(HW)	CTCF	Cf2	CG4404	Myb	hth	Dref	CG32830	sima	CG4328	dmrt99B	vvl	lbe	net	peb	lola	Med	sug	pad	CG12605
0.6000000000000001	1.0350521657926408	0.7135120145265992	0.050482202938878055	0.7066666666666666	0.029533408577782246	SU(HW)	CTCF	Cf2	CG4404	Myb	hth	Dref	CG32830	sima	CG4328	dmrt99B	vvl	lbe	net	peb	lola	Med	sug	pad	CG12605
0.7000000000000001	1.0350521657926408	0.7135120145265992	0.050482202938878055	0.7066666666666666	0.029533408577782246	SU(HW)	CTCF	Cf2	CG4404	Myb	hth	Dref	CG32830	sima	CG4328	dmrt99B	vvl	lbe	net	peb	lola	Med	sug	pad	CG12605
0.8	1.0350521657926408	0.7135120145265992	0.050482202938878055	0.7066666666666666	0.029533408577782246	SU(HW)	CTCF	Cf2	CG4404	Myb	hth	Dref	CG32830	sima	CG4328	dmrt99B	vvl	lbe	net	peb	lola	Med	sug	pad	CG12605
0.9	1.0350521657926408	0.7135120145265992	0.050482202938878055	0.7066666666666666	0.029533408577782246	SU(HW)	CTCF	Cf2	CG4404	Myb	hth	Dref	CG32830	sima	CG4328	dmrt99B	vvl	lbe	net	peb	lola	Med	sug	pad	CG12605
1.0	1.0350521657926408	0.7135120145265992	0.050482202938878055	0.7066666666666666	0.029533408577782246	SU(HW)	CTCF	Cf2	CG4404	Myb	hth	Dref	CG32830	sima	CG4328	dmrt99B	vvl	lbe	net	peb	lola	Med	sug	pad	CG12605
