l2_ratio	mean abs(top weights)	mean AUC ROC	std AUC ROC	mean Accuracy	std Accuracy	motif 1	motif 2	motif 3	motif 4	motif 5	motif 6	motif 7	motif 8	motif 9	motif 10	motif 11	motif 12	motif 13	motif 14	motif 15	motif 16	motif 17	motif 18	motif 19	motif 20
0.0	0.9555527106602548	0.7504519599248218	0.03695122669459852	0.6849999999999999	0.024381231397212974	Myb	hth	danr	ci	vvl	Six4	Atf-2	(HLH106)_(Homo_sapiens)_(DBD_0.80)	Deaf1	Hr83	grh	Med	CG4360	CG12768	Ptx1	caup	dmrt99B	rib	dimm	pfk
0.1	0.9555527106602548	0.7504519599248218	0.03695122669459852	0.6849999999999999	0.024381231397212974	Myb	hth	danr	ci	vvl	Six4	Atf-2	(HLH106)_(Homo_sapiens)_(DBD_0.80)	Deaf1	Hr83	grh	Med	CG4360	CG12768	Ptx1	caup	dmrt99B	rib	dimm	pfk
0.2	0.9555527106602548	0.7504519599248218	0.03695122669459852	0.6849999999999999	0.024381231397212974	Myb	hth	danr	ci	vvl	Six4	Atf-2	(HLH106)_(Homo_sapiens)_(DBD_0.80)	Deaf1	Hr83	grh	Med	CG4360	CG12768	Ptx1	caup	dmrt99B	rib	dimm	pfk
0.30000000000000004	0.9555527106602548	0.7504519599248218	0.03695122669459852	0.6849999999999999	0.024381231397212974	Myb	hth	danr	ci	vvl	Six4	Atf-2	(HLH106)_(Homo_sapiens)_(DBD_0.80)	Deaf1	Hr83	grh	Med	CG4360	CG12768	Ptx1	caup	dmrt99B	rib	dimm	pfk
0.4	0.9555527106602548	0.7504519599248218	0.03695122669459852	0.6849999999999999	0.024381231397212974	Myb	hth	danr	ci	vvl	Six4	Atf-2	(HLH106)_(Homo_sapiens)_(DBD_0.80)	Deaf1	Hr83	grh	Med	CG4360	CG12768	Ptx1	caup	dmrt99B	rib	dimm	pfk
0.5	0.9555527106602548	0.7504519599248218	0.03695122669459852	0.6849999999999999	0.024381231397212974	Myb	hth	danr	ci	vvl	Six4	Atf-2	(HLH106)_(Homo_sapiens)_(DBD_0.80)	Deaf1	Hr83	grh	Med	CG4360	CG12768	Ptx1	caup	dmrt99B	rib	dimm	pfk
0.6000000000000001	0.9555527106602548	0.7504519599248218	0.03695122669459852	0.6849999999999999	0.024381231397212974	Myb	hth	danr	ci	vvl	Six4	Atf-2	(HLH106)_(Homo_sapiens)_(DBD_0.80)	Deaf1	Hr83	grh	Med	CG4360	CG12768	Ptx1	caup	dmrt99B	rib	dimm	pfk
0.7000000000000001	0.9555527106602548	0.7504519599248218	0.03695122669459852	0.6849999999999999	0.024381231397212974	Myb	hth	danr	ci	vvl	Six4	Atf-2	(HLH106)_(Homo_sapiens)_(DBD_0.80)	Deaf1	Hr83	grh	Med	CG4360	CG12768	Ptx1	caup	dmrt99B	rib	dimm	pfk
0.8	0.9555527106602548	0.7504519599248218	0.03695122669459852	0.6849999999999999	0.024381231397212974	Myb	hth	danr	ci	vvl	Six4	Atf-2	(HLH106)_(Homo_sapiens)_(DBD_0.80)	Deaf1	Hr83	grh	Med	CG4360	CG12768	Ptx1	caup	dmrt99B	rib	dimm	pfk
0.9	0.9555527106602548	0.7504519599248218	0.03695122669459852	0.6849999999999999	0.024381231397212974	Myb	hth	danr	ci	vvl	Six4	Atf-2	(HLH106)_(Homo_sapiens)_(DBD_0.80)	Deaf1	Hr83	grh	Med	CG4360	CG12768	Ptx1	caup	dmrt99B	rib	dimm	pfk
1.0	0.9555527106602548	0.7504519599248218	0.03695122669459852	0.6849999999999999	0.024381231397212974	Myb	hth	danr	ci	vvl	Six4	Atf-2	(HLH106)_(Homo_sapiens)_(DBD_0.80)	Deaf1	Hr83	grh	Med	CG4360	CG12768	Ptx1	caup	dmrt99B	rib	dimm	pfk
