motif,mean_importance,abs_mean_importance,mean_abs_importance,std_importance
vis  -  (M2059-1.02),-0.0010158070276813788,0.0010158070276813788,0.004684144535127775,0.005798850933829655
hth  -  (M5040-1.02),0.000720824984151622,0.000720824984151622,0.0061212561320500855,0.006817067533357405
knrl  -  (M5059-1.02),-0.0006425401227218389,0.0006425401227218389,0.006221566780184992,0.007685757479389879
ttk  -  (M2263-1.02),-0.0006257588560410661,0.0006257588560410661,0.0023319787135657245,0.0029994603601818668
peb  -  (M5147-1.02),-0.0005869653789093616,0.0005869653789093616,0.003451051234523436,0.004141057268018525
Gsc  -  (M1096-1.02),-0.0005249100293590175,0.0005249100293590175,0.0023881956979286915,0.0030212367442792386
opa  -  (M2259-1.02),0.0005177169848641048,0.0005177169848641048,0.0027853910451059475,0.003955332618012089
BEAF-32  -  (M2325-1.02),0.0004974078641401464,0.0004974078641401464,0.0025724579063706437,0.003266266094687928
Ets96B  -  (M4952-1.02),-0.0004919990002015697,0.0004919990002015697,0.0011064407963444225,0.0013752429179006704
kni  -  (M4677-1.02),0.0004878270820837633,0.0004878270820837633,0.0020768420917520927,0.0025528054697876845
Her  -  (M5004-1.02),-0.00047489665277396784,0.00047489665277396784,0.0022950547942798627,0.002880570728430285
onecut  -  (M2043-1.02),0.0004313600787616881,0.0004313600787616881,0.0011802701221382934,0.0013878442152247766
Sox14  -  (M5207-1.02),-0.00041788182299615375,0.00041788182299615375,0.002340288572024846,0.003137679519813514
Myb  -  (M4676-1.02),-0.00038498856854792153,0.00038498856854792153,0.00191172751883339,0.0029210744845890564
CG12605  -  (M4817-1.02),0.0003752740308635457,0.0003752740308635457,0.000886573674792054,0.001132913738887689
CG7368  -  (M4876-1.02),0.00037074267279911435,0.00037074267279911435,0.0007965895295842584,0.0010098827799741715
disco  -  (M4914-1.02),-0.0003697892315156194,0.0003697892315156194,0.002110431719325386,0.0027025536222768853
(yps)_(Homo_sapiens)_(DBD_0.82)  -  (M6537-1.02),0.0003642229455152279,0.0003642229455152279,0.0013182445037244162,0.0017366488532613632
CG5669  -  (M4870-1.02),0.00036124354515781925,0.00036124354515781925,0.0008880852956709072,0.0010997038162431885
Eip93F  -  (M4939-1.02),0.0003399020421199392,0.0003399020421199392,0.0006364833720872709,0.0007888963892089012
(CG6905)_(Homo_sapiens)_(DBD_0.97)  -  (M6166-1.02),0.00033886799365814016,0.00033886799365814016,0.002987893906996774,0.0035289347857185
Med  -  (M5102-1.02),0.0003287165599569453,0.0003287165599569453,0.0017696336897193555,0.002157618198761933
crol  -  (M4898-1.02),0.000319132697168385,0.000319132697168385,0.0007681906894689947,0.0010311503881509185
achi  -  (M2016-1.02),-0.000317518093523399,0.000317518093523399,0.004387981895586984,0.005303631631293361
sob  -  (M5203-1.02),0.00031350210198978354,0.00031350210198978354,0.0017421716913492858,0.0021142883438282994
rib  -  (M5167-1.02),0.0003134221084302872,0.0003134221084302872,0.0008981252011187444,0.0011297122747754682
Doc2  -  (M4921-1.02),0.00030913121114452583,0.00030913121114452583,0.0011214586684202136,0.00148246547507596
pnt  -  (M5157-1.02),0.0003080464387526124,0.0003080464387526124,0.0008187547024999445,0.001052665995722438
sens  -  (M5187-1.02),0.00030281090618699234,0.00030281090618699234,0.0024527607423418057,0.0029028264969217224
Fer3  -  (M4971-1.02),-0.00029180241541607575,0.00029180241541607575,0.001717206916898708,0.0030915824302472244
ftz  -  (M4977-1.02),0.0002846600353163406,0.0002846600353163406,0.0008591650869714621,0.0010667520481055263
HLHmgamma  -  (M5025-1.02),-0.00028416352899653124,0.00028416352899653124,0.0017630556407014413,0.0021295307703115183
CG12768  -  (M4819-1.02),0.0002746482534552776,0.0002746482534552776,0.0007285931876007215,0.0009678702246621922
sens-2  -  (M5186-1.02),0.00026979916354634653,0.00026979916354634653,0.0049906837323373185,0.006000859050679845
SU(HW)  -  (M2328-1.02),-0.00026735627128982584,0.00026735627128982584,0.005907701532766992,0.007035943627170707
(CG11152)_(Homo_sapiens)_(DBD_0.50)  -  (M6238-1.02),0.0002668131237647053,0.0002668131237647053,0.0007367474974550274,0.0009679567095770105
