motif,mean_importance,abs_mean_importance,mean_abs_importance,std_importance
M1098-1.02,-0.06588536,0.06588536,0.21766451,0.2504401
M4677-1.02,-0.056684457,0.056684457,0.08890826,0.107647955
M5040-1.02,0.047547355,0.047547355,0.3313977,0.35655332
M5207-1.02,-0.04578618,0.04578618,0.123043925,0.17371745
M5039-1.02,-0.03949164,0.03949164,0.17142409,0.21458732
M4670-1.02,-0.03863286,0.03863286,0.18733224,0.2548599
M4823-1.02,-0.036887966,0.036887966,0.2521891,0.3530432
M5107-1.02,-0.036316406,0.036316406,0.07432295,0.09646769
M1095-1.02,-0.033255804,0.033255804,0.1952852,0.2179936
M4934-1.02,-0.03290403,0.03290403,0.30255005,0.36785847
M2328-1.02,-0.031854704,0.031854704,0.17646298,0.19512394
M5233-1.02,-0.031847756,0.031847756,0.12092753,0.16960786
M1090-1.02,0.031125344,0.031125344,0.05723477,0.06063681
M5111-1.02,-0.030792402,0.030792402,0.04942691,0.06094435
M1869-1.02,-0.030347819,0.030347819,0.19771233,0.2234831
M1470-1.02,-0.028726606,0.028726606,0.04863479,0.06758587
M4971-1.02,-0.027966537,0.027966537,0.0780691,0.112945296
M4676-1.02,-0.027758734,0.027758734,0.2070973,0.26191503
M4859-1.02,-0.027386354,0.027386354,0.11641898,0.15081094
M4949-1.02,-0.0261515,0.0261515,0.05027571,0.0559137
M5121-1.02,-0.025897535,0.025897535,0.07686344,0.114625245
M5149-1.02,-0.02536969,0.02536969,0.040949658,0.057119858
M0641-1.02,-0.025119675,0.025119675,0.085242495,0.12750937
M4872-1.02,-0.02500104,0.02500104,0.08917529,0.104093194
M1101-1.02,-0.024706602,0.024706602,0.057014618,0.0636295
M1093-1.02,-0.024459131,0.024459131,0.1698062,0.19093883
M5059-1.02,-0.024429897,0.024429897,0.3036824,0.35058075
M5265-1.02,-0.024382556,0.024382556,0.107743695,0.13485152
M4866-1.02,-0.023931619,0.023931619,0.37970057,0.4838227
M0713-1.02,-0.023774475,0.023774475,0.052951716,0.06838879
M5054-1.02,-0.023223553,0.023223553,0.22671412,0.26164424
M5036-1.02,-0.023063838,0.023063838,0.04131933,0.059277102
M4633-1.02,-0.022915196,0.022915196,0.2030549,0.22841355
M4996-1.02,-0.02290137,0.02290137,0.06436348,0.09027904
M6277-1.02,-0.022898128,0.022898128,0.16354379,0.19372822
M5099-1.02,0.022775846,0.022775846,0.08742932,0.13411584
M4889-1.02,-0.022573275,0.022573275,0.03927479,0.07690374
M5052-1.02,-0.022363402,0.022363402,0.035668258,0.04893307
M1223-1.02,-0.02186253,0.02186253,0.09191866,0.11158498
M1092-1.02,-0.021854486,0.021854486,0.07758168,0.09249897
M2325-1.02,-0.021811703,0.021811703,0.08281483,0.14095303
M4771-1.02,-0.0213127,0.0213127,0.1045591,0.11215289
M5185-1.02,-0.021278283,0.021278283,0.0626598,0.071629226
M5241-1.02,-0.021245107,0.021245107,0.15308982,0.17471442
M4735-1.02,-0.0211657,0.0211657,0.22907868,0.28646782
M4911-1.02,-0.021045905,0.021045905,0.062449113,0.08109994
M4964-1.02,-0.02091417,0.02091417,0.262614,0.35164854
M1946-1.02,-0.02080098,0.02080098,0.08853925,0.09734156
M5103-1.02,-0.02006612,0.02006612,0.10458104,0.12144789
M6410-1.02,-0.019881295,0.019881295,0.048133556,0.07521359
M4923-1.02,-0.019688373,0.019688373,0.033852763,0.044437792
