motif,mean_importance,abs_mean_importance,mean_abs_importance,std_importance
M5059-1.02,-0.13442862,0.13442862,0.69113195,0.8043102
M2328-1.02,-0.11130118,0.11130118,0.29123574,0.33812675
M0302-1.02,-0.100576304,0.100576304,0.21271215,0.23943129
M5265-1.02,-0.09474308,0.09474308,0.24314125,0.30862993
M5020-1.02,-0.06127896,0.06127896,0.14788775,0.16558512
M4823-1.02,-0.061242957,0.061242957,0.164371,0.16935006
M6374-1.02,-0.0575386,0.0575386,0.18104734,0.19443372
M5217-1.02,0.04771045,0.04771045,0.23725776,0.2509462
M6235-1.02,-0.04448554,0.04448554,0.13994604,0.16637884
M2251-1.02,0.043560095,0.043560095,0.19832076,0.22954701
M5119-1.02,-0.04096785,0.04096785,0.20445569,0.26187465
M4964-1.02,-0.040337566,0.040337566,0.13821483,0.18588008
M4899-1.02,-0.039961282,0.039961282,0.093189314,0.093212694
M5102-1.02,-0.03745387,0.03745387,0.21439128,0.27984107
M1099-1.02,0.037237205,0.037237205,0.087317534,0.108733855
M4924-1.02,-0.03619478,0.03619478,0.11104368,0.13425092
M1093-1.02,-0.03558172,0.03558172,0.07857026,0.17769659
M5142-1.02,0.034248807,0.034248807,0.23278631,0.2595717
M4983-1.02,-0.033850137,0.033850137,0.094076276,0.12800676
M4971-1.02,-0.03262824,0.03262824,0.13476121,0.16399607
M4949-1.02,-0.03201835,0.03201835,0.07186515,0.0746628
M4866-1.02,-0.03189883,0.03189883,0.33364588,0.39137653
M5065-1.02,-0.031559844,0.031559844,0.038103182,0.03885165
M2006-1.02,0.030612616,0.030612616,0.056785703,0.066694185
M5241-1.02,-0.029537868,0.029537868,0.0898383,0.12935734
M5022-1.02,-0.029210253,0.029210253,0.039581038,0.038211543
M2026-1.02,-0.029155925,0.029155925,0.09359286,0.105224736
M4934-1.02,0.029100453,0.029100453,0.18637292,0.26128313
M5099-1.02,0.028393669,0.028393669,0.15903668,0.18710281
M4939-1.02,0.028387006,0.028387006,0.08222376,0.0932641
M1094-1.02,-0.027723592,0.027723592,0.0496595,0.060211185
M4747-1.02,-0.027712913,0.027712913,0.05623884,0.06427401
M2016-1.02,-0.027620662,0.027620662,0.09532518,0.10716981
M1869-1.02,-0.027559083,0.027559083,0.11605811,0.1562522
M5208-1.02,0.026436249,0.026436249,0.1958988,0.22387847
M4872-1.02,-0.02625357,0.02625357,0.04274958,0.057675272
M4900-1.02,-0.02566072,0.02566072,0.09682603,0.117605776
M5172-1.02,-0.025654111,0.025654111,0.06343307,0.08566745
M4720-1.02,-0.025626691,0.025626691,0.074035265,0.106451735
M5256-1.02,-0.025398454,0.025398454,0.22377406,0.27775335
M4803-1.02,0.025054896,0.025054896,0.18513007,0.21002018
M4883-1.02,0.024782417,0.024782417,0.13318005,0.170197
M5227-1.02,-0.024248933,0.024248933,0.066059224,0.094284825
M2061-1.02,-0.023681913,0.023681913,0.099088736,0.12991102
M4633-1.02,0.023588127,0.023588127,0.09149818,0.111077
M5054-1.02,-0.023489272,0.023489272,0.15646127,0.17387268
M4913-1.02,-0.023165928,0.023165928,0.080797054,0.094052605
M5209-1.02,0.022599384,0.022599384,0.03576485,0.05287164
M5025-1.02,-0.022526475,0.022526475,0.054318015,0.06852203
M6501-1.02,0.021916337,0.021916337,0.121295445,0.13965283
M4923-1.02,-0.02175064,0.02175064,0.083037265,0.103983894
M4859-1.02,0.02162534,0.02162534,0.11897949,0.13385619
M5097-1.02,0.021420443,0.021420443,0.1009023,0.19179375
M5180-1.02,-0.021355521,0.021355521,0.087261885,0.12515457
M4800-1.02,-0.021138074,0.021138074,0.05602205,0.06861507
M4860-1.02,-0.020645652,0.020645652,0.08495913,0.097486116
M4526-1.02,-0.020394655,0.020394655,0.044037465,0.056957215
M4898-1.02,0.019956559,0.019956559,0.061311193,0.07807834
M4673-1.02,-0.019534994,0.019534994,0.063426346,0.07820568
M4906-1.02,-0.019185375,0.019185375,0.06375129,0.07515533
M5060-1.02,-0.019048052,0.019048052,0.085285574,0.120273106
M0740-1.02,-0.018801723,0.018801723,0.0958073,0.11131278
M1519-1.02,-0.018745055,0.018745055,0.049456794,0.063856654
