motif,mean_importance,abs_mean_importance,mean_abs_importance,std_importance
Dr  -  (M4923-1.02),0.07930077,0.07930077,0.21605992,0.25478068
Adf1  -  (M4728-1.02),0.048608813,0.048608813,0.13532117,0.18618652
fd64A  -  (M4964-1.02),0.038101707,0.038101707,0.11004846,0.13122799
(dan)_(Bombyx_mori)_(DBD_0.85)  -  (M0580-1.02),0.037555207,0.037555207,0.22052099,0.24880973
tj  -  (M5244-1.02),0.037470136,0.037470136,0.2316129,0.26166454
CG13424  -  (M4820-1.02),-0.03699666,0.03699666,0.09456607,0.12356053
FBgn0261930  -  (M2060-1.02),-0.035498444,0.035498444,0.11889852,0.14117679
Med  -  (M5102-1.02),-0.031838093,0.031838093,0.09678551,0.10242578
(A3-3)_(Mus_musculus)_(DBD_0.56)  -  (M0302-1.02),-0.031663705,0.031663705,0.115164705,0.1334397
bsh  -  (M1089-1.02),-0.02858167,0.02858167,0.06779073,0.09302852
slou  -  (M5196-1.02),0.028521826,0.028521826,0.118263766,0.17485113
(fd96Ca)_(Mus_musculus)_(DBD_0.88)  -  (M0737-1.02),0.028504886,0.028504886,0.16463168,0.17946441
dmrt99B  -  (M0641-1.02),-0.027889539,0.027889539,0.121369146,0.1362839
(RunxA)_(Homo_sapiens)_(DBD_0.73)  -  (M6459-1.02),0.026972344,0.026972344,0.07208852,0.108027026
Hand  -  (M4996-1.02),-0.026784414,0.026784414,0.07428781,0.0960359
Dref  -  (M4924-1.02),0.026742077,0.026742077,0.101978794,0.118783556
sd  -  (M5185-1.02),-0.026474325,0.026474325,0.13711663,0.16966704
nau  -  (M5113-1.02),0.026266227,0.026266227,0.089090325,0.107657626
hkb  -  (M5009-1.02),0.026157776,0.026157776,0.06272921,0.07048841
bab1  -  (M4757-1.02),0.026000505,0.026000505,0.10979421,0.14341274
crp  -  (M4899-1.02),0.025889665,0.025889665,0.23637663,0.27088484
ss  -  (M5217-1.02),0.025737593,0.025737593,0.061593976,0.07885406
(org-1)_(Mus_musculus)_(DBD_0.70)  -  (M1628-1.02),-0.025579523,0.025579523,0.09769091,0.1353859
knrl  -  (M5059-1.02),-0.025229046,0.025229046,0.1402913,0.21108551
(NfI)_(Homo_sapiens)_(DBD_0.80)  -  (M5660-1.02),0.024877412,0.024877412,0.10996459,0.16066673
pan  -  (M5144-1.02),0.022831494,0.022831494,0.16026725,0.18241128
Fer2  -  (M4969-1.02),0.022822151,0.022822151,0.12026839,0.12802185
sens  -  (M5187-1.02),-0.022688799,0.022688799,0.06680495,0.07606502
FBgn0263112  -  (M5111-1.02),0.022636222,0.022636222,0.094944894,0.10614443
Hnf4  -  (M5030-1.02),-0.022549659,0.022549659,0.06856058,0.08127463
CG5669  -  (M4870-1.02),0.022230832,0.022230832,0.07342333,0.09255207
Fer1  -  (M4966-1.02),0.021946799,0.021946799,0.08021539,0.11698841
Cf2  -  (M1849-1.02),-0.021671813,0.021671813,0.14481671,0.16579755
Atf-2  -  (M4747-1.02),0.021050196,0.021050196,0.17134324,0.21232164
Atf6  -  (M4748-1.02),0.020936422,0.020936422,0.048762444,0.07026375
(HLH3B)_(Homo_sapiens)_(DBD_0.81)  -  (M6501-1.02),0.020911314,0.020911314,0.09627077,0.1241766
ct  -  (M2027-1.02),-0.020278111,0.020278111,0.08657851,0.09877026
CG32830  -  (M4847-1.02),-0.019961333,0.019961333,0.0788445,0.085392766
phol  -  (M5152-1.02),-0.01993326,0.01993326,0.03325339,0.052279454
CG12768  -  (M4819-1.02),0.019782716,0.019782716,0.14044064,0.16299732
Vsx1  -  (M1101-1.02),0.01926792,0.01926792,0.079116724,0.100798994
D19B  -  (M4902-1.02),-0.019066418,0.019066418,0.1293424,0.1491354
tup  -  (M5252-1.02),0.018853698,0.018853698,0.09136117,0.10952487
HLHm3  -  (M5019-1.02),0.01857134,0.01857134,0.08183027,0.1260336
dve  -  (M1098-1.02),-0.018080277,0.018080277,0.08208753,0.10773298
Hey  -  (M5006-1.02),0.018019779,0.018019779,0.084723145,0.09145114
HLHm7  -  (M5022-1.02),-0.01768531,0.01768531,0.0375888,0.050773032
(Nf-YA)_(Homo_sapiens)_(DBD_0.84)  -  (M1890-1.02),0.017512476,0.017512476,0.17506562,0.206731
scrt  -  (M5182-1.02),0.017343394,0.017343394,0.14991358,0.18367364
